ID,author,year,language,temporal_period,n_stanzas,text,text_en
UP1840_4,Iryna Shuvalova,2019.0,Ukrainian,2014_2021,1,"4.
поезію
тут
востаннє бачили на вокзалі
перед тим як сісти 
в останній вагон потяга
вона заклеїла жуйкою
камеру відеоспостереження
велике віяло доріг
розкрилося їй назустріч
-----
#шуваловірші","Poetry, thou hast been seen here for the last time at the station, ere we did sit in the last carriage of the train. She hath sealed the camera of surveillance with chewing gum; a great fan of roads hath opened itself unto her in greeting."
UP2048_1,Borys Humeniuk,2014.0,Ukrainian,2014_2021,1,"Авіаносець ""Джорж Буш"" входить в Чорне море.
Авіаносець ""Джорж Буш"" не входить в Чорне море.
І так цілий тиждень:
Входить - і виходить, входить - і виходить.
Може досить займатися онанізмом?
Ніхто за нас воювати не буде.
Боронити українську землю справа українських чоловіків.
Де-факто через бездарність і безсилля нашої влади
ми уже втратили Крим. 
А де-юре Путіну пох... 
Щоб повернути собі Крим, у нас немає іншого виходу, як заходити на півострів і скинути окупантів в Чорне море.
Так, їх там вже 30 тисяч.
Так, їх  там може бути вдвічі, втричі більше,
І всіх доведеться заковбасити.
Так, і наших хлопців поляже не менше.
А що вас матері народили чоловіками, щоб ви були вчителями, лікарями, сантехніками?
Нині треба бути чоловіками,
Нині треба бути воїнами,
І такий нині наш чоловічий триб.
Хто вважає, що цього робити не треба, бо, мовляв, це наші брати, будуть жертви і всяке таке...
Будь ласка, у мене немає часу чистити сторінку. 
Йдіть собі з Богом..","The aircraft carrier ""George Bush"" doth enter into the Black Sea.
The aircraft carrier ""George Bush"" doth not enter into the Black Sea.
And thus the whole week:
It entereth - and goeth out, it entereth - and goeth out.
Mayhap enough of engaging in self-pleasure?
No one shall fight for us.
To defend the Ukrainian land is the duty of Ukrainian men.
De facto, through the incompetence and impotence of our authority,
We have already lost Crimea.
And de jure, Putin careth not...
To reclaim Crimea, we have no other way but to enter the peninsula and cast the occupiers into the Black Sea.
Yea, there be already 30 thousand of them.
Yea, there may be twice, thrice as many,
And all shall need to be dealt with.
Yea, and our lads shall not be laid low any less.
And what, dost thou think, that thy mothers did bear thee as men, that ye should be teachers, physicians, plumbers?
Now it behoveth to be men,
Now it behoveth to be warriors,
And such is our masculine tribulation now.
Who doth think that this need not be done, forsooth, because, they say, these are our brothers, there shall be victims and all such...
Pray, I have no time to cleanse the page.
Go thou with God.."
UP2056_1,Kateryna Babkina,2014.0,Ukrainian,2014_2021,1,"Десять років тому вона любила одразу двох.
Плуталася, як дитя між своїх батьків і пророків
полишеної вітчизни. Й усе, що затвердила з тих уроків:
якщо хочеш побачити, як посміхається Бог - 
розкажи йому свої плани на десять наступних років. 
І тепер вона пише мені – один з них плакав, інший пив за мене насамоті.
Я сумлінно молилася за обох перед кожним прийомом їжі.
Іноді я в інтернеті перевіряю, котрий з них вижив,
але дотепер, навіть коли засинаю, пильную свої пости,
стережу свої плани на десять наступних тижнів.
Я кажу їй – не знаю, про що ти. В мене квитки на пороми на десять наступних днів.
В мене змія у ванній і у склянці на підвіконні – отруйна квітка духм’яна.
Якщо за десять років лишилося бодай щось – це, погодься, вже непогано,
в мене з кожного окремого дня залишається тільки засмага і назви човнів.
Зате із кожного боку – вихід до океану.","Ten years ago, she did love at once two.  
She did entangle, like a child 'twixt her parents and prophets  
of a forsaken homeland. And all that she did affirm from those lessons:  
if thou dost wish to see how God doth smile -  
tell Him thy plans for the next ten years.  
And now she doth write to me - one of them did weep, the other did drink for me alone.  
I did diligently pray for both before each meal.  
At times I do check on the internet, which of them hath survived,  
but until now, even when I do fall asleep, I do guard my posts,  
I do keep watch over my plans for the next ten weeks.  
I do say to her - I know not what thou dost mean. I have tickets for ferries for the next ten days.  
I have a snake in the bath and in a glass on the windowsill - a poisonous fragrant flower.  
If in ten years there doth remain at least something - this, agree, is already not bad,  
I have from each separate day only a tan and the names of boats.  
Yet from every side - a way to the ocean."
UP2083_2,Hryhoryi Falkovych,2023.0,Ukrainian,post_2022,1,"ПОВОЛІ ВІДПЛИВАЄ, ВІДЛІТАЄ
Поволі відпливає, відлітає,
Прозорішає, наче розтає,
Сивенька моя мама пресвятая,
Вина моя, всепрощення моє.
Вона мене по всіх світах носила,
По всіх садах у праведній землі.
Невже її удержати несила
При цьому літі, при оцім теплі?
Не старіє душа у самотинні.
Я долучу собі, до днів своїх,
Її худенькі плечики дитинні,
Дитинний погляд і дівочий сміх.
Її сльозам іще давати порость,
Колись ще трави зійдуть і гаї.
Я убачаю крізь її прозорість
Свої минулі і майбутні дні.
Поволі відпливає, відлітає,
Немов кульбабка, тане розтає
Сивенька моя мама пресвятая,
І з нею я, земне життя моє...
СПОКОНВІК ПОКОЇВКА ПРИ СПОКОЇ
Споконвік покоївка при спокої —
Мамо, мамеле, мамцю моя —
Для твоєї любові високої
Хтозна й за що був обраним я.
Десь, я вірю, ти іще жива —
Може, там, де осінь зимувала.
Ще лунають золоті слова,
Що мені ти їх подарувала:","Slowly doth she drift away, doth she take flight,
She doth become more transparent, as if she melteth,
My gray-haired mother, most holy,
My wine, my all-forgiving.
She hath carried me through all the worlds,
Through all the gardens in the righteous land.
Can I not hold her back,
In this summer, in this warmth?
The soul doth not age in solitude.
I shall join to my days,
Her slender, childlike shoulders,
Her childish gaze and maidenly laughter.
I shall yet give her tears to grow,
Once more the grasses shall sprout and the groves.
I see through her transparency
My past and future days.
Slowly doth she drift away, doth she take flight,
Like a dandelion, she melteth away,
My gray-haired mother, most holy,
And with her, my earthly life...  
Eternally a maidservant at peace —
Mother, dear mother, my mother —
For thy lofty love,
Who knoweth for what I was chosen.
Somewhere, I believe, thou art yet alive —
Mayhap, where autumn didst winter.
Still doth the golden words resound,
Which thou didst gift to me: // Little birds and kittens,
Dear ones and sweet ones...
But the rest — I have forgotten.
Thou hast conquered time and distance,
Yet if this be not enough for thee,
I shall return to thee forever
A few words that thou didst gift,
Though they, earthly or unearthly,
Have become my talismans:
Little birds and kittens,
Dear ones and sweet ones...
But the rest — I have forgotten."
UP2160_1,Iryna Vikyrchak,2019.0,Ukrainian,2014_2021,1,"Я знаю, ти тут.
Я чула цей звук: 
випадково зустрівшись із ґудзиком металевим
дзвінко і довго клямка комоду тримала вібруюче ""соль"". 
Ти десь у цих стінах, 
в шухляді, підлозі, чи люстрі на стелі
джином безпомічним б'єшся, 
мов птаха об шибу,
мов риба об лід
в структуру твердої матерії. 
Шість тижнів минуло, 
та ти все невидима і непочута 
присутня між складками одягу в шафі,
між рядками келішків в серванті, 
що, як завжди, дзеленчать, 
коли попри дім проїжджає вантажівка. 
Шість тижнів минуло, і вчора 
протяг раптовий звіяв зі столу
старі і нові фотографії, 
і вперше було помічено 
нашу з тобою схожість.
Я знаю, ти тут.","I know, thou art here.  
I heard this sound:  
by chance encountering a metal button  
ringingly and long did the latch of the chest hold vibrating ""sol.""  
Thou art somewhere within these walls,  
in the drawer, the floor, or the chandelier upon the ceiling  
like a helpless genie dost thou struggle,  
as a bird against the pane,  
as a fish against the ice  
in the structure of solid matter.  
Six weeks have passed,  
yet thou art still unseen and unheard  
present amidst the folds of clothing in the wardrobe,  
among the lines of goblets in the sideboard,  
which, as always, do jingle,  
when a truck dost pass by the house.  
Six weeks have passed, and yesterday  
a sudden draft did blow from the table  
old and new photographs,  
and for the first time was noted  
our likeness, thou and I.  
I know, thou art here."
UP2124_1,Dmytro Lazutkin,2022.0,Ukrainian,post_2022,1,"ІНДІЙСЬКИЙ ОКЕАН
що вона робила 
на узбережжі індійського океану?
дивилася як сонце обережно 
сідає на хвилі і починає на них гойдатися?
їла солодкі фрукти під пальмами?
ганяла на моторолері? 
вигиналася мов змія 
лежачи на піску? 
курила духм’яну траву?
танцювала? медитувала? 
фотографувалася зі слонами?
напевно саме так все і було
десять днів світла
десять днів свободи…
поверталася ніна 
літаком через варшаву
під час пересадки встигла поспілкувалася по відеозв’язку з донькою
яка залишилася з її батьками 
вдома
у маріуполі
її малій було чотири роки
вона смішно вимовляла окремі слова
особливо нові для себе
наприклад говорячи про ракети
сказала:
мам
а у нас лакети
які лакети?
ну що ти там вже знову вигадуєш?","INDIAN OCEAN
What did she do
Upon the shores of the Indian Ocean?
Did she gaze as the sun cautiously
Setteth upon the waves and beginneth to sway upon them?
Did she eat sweet fruits beneath the palms?
Did she race upon a motor scooter?
Did she bend like a serpent
Lying upon the sand?
Did she smoke fragrant herbs?
Did she dance? Did she meditate?
Did she take photographs with elephants?
Surely, thus it was all
Ten days of light
Ten days of freedom...
Nina returned
By plane through Warsaw
During the layover, she managed to converse via video link with her daughter
Who remained with her parents
At home
In Mariupol.
Her little one was four years old.
She amusingly pronounced certain words,
Especially those new to her.
For instance, speaking of rockets,
She said:
""Mom,
And we have lakety.""
""What lakety?""
""Well, what dost thou invent again?"" // Thus did Nina learn of the onset of war.
Within minutes, her flight was cancelled,
As were all other flights in the needed direction.
The next day, it became clear
That henceforth, only worse would follow.
The bombardments intensified,
Reports began to appear
Of the first dead
And dreadful images of ruined high-rises.
The intervals between telephone conversations
Became unbearably long.
When she rode in a minibus
To the Ukrainian border,
The connection with her daughter and parents vanished
For seven days, as it turned out later.
Through the viscous time,
Spring crawled into the world.
The subscribers were
Out of reach.
The news that arrived—
Did hinder her from breathing.
A full siege of the city,
A full siege of the city,
And wherefore could air be found in her lungs?
She read of humanitarian corridors for civilians,
Shot by Russian soldiers.
She called the neighbors,
Inquired—when had they last seen her daughter?
She asked again through the creaking and rustling of the receiver:
""Is she alive?"" // Is she alive?
Dost thou hear me? Is she alive?
Against her little girl,
The army of Putin employed
Multiple rocket launch systems,
Long-range artillery,
Aerial bombs,
Tactical missiles,
Very many tanks,
Mortars and small arms.
Constantly:
Tremors and vibrations.
They wrote that the city was destroyed
By fifty percent,
Then—by seventy,
Later—by ninety.
An endless wasteland,
A dead earth,
To which
The birds returned as if home,
But saw—only burnt nests,
And flew away forever,
Astonished,
Horrified,
Confounded.
Nina calculated all possible variants,
And for good measure—the impossible ones.
Thus, when they called her
From an unknown number,
She was already prepared for all. // As it turned out,
One day, into their bomb shelter
Came people with automatics,
Swiftly took all away,
And carried them somewhere near Rostov.
Some were—allowed to remain temporarily in Donetsk.
It was from there that they called.
Nina listened to the unfamiliar voice and prayed in her mind.
She heard familiar ones—and wept.
She managed to arrange everything,
Almost by miracle...
She took them at the checkpoint.
Beyond the windows of the automobile, there floated
Low clouds and tall trees.
Almost the entire way, the girl
Slept in the back seat.
Already past Przemyśl,
Awakened by the brazen sun of morning,
Suddenly asked:
""Mom,
Mommy,
Tell me,
How dost thou find India?
Please,
Tell me,
How dost thou find India?""
The blurred horizon
Did consume the eyes,
When would this road
Come to an end? // We shall surely converse
Of all things."
UP2258_1,Iryna Vikyrchak,2020.0,Ukrainian,2014_2021,1,"Вірші – це коли з душевного пороху формуються скульптури зі слів. Любов і біль, що набирають форму тільки у амфорі мови.  Потужні згустки енергії, потаємна оборонна зброя, магічне закляття, терапевтичні ліки. Послання у пляшці, код, що має стільки варіацій, скільки у нього є читачів і прочитань.
Мені, мені потрібні ці лапідарні тексти-ребуси, кубики Рубіка, незрозумілі без ключа, ані по змісту, ані по формі. А може, все не так? Гаразд, я готова  читати  вголос ці вірші, непридатні до читання вголос кимсь іншим, коментувати всі ці алюзії й пояснювати незрозумілі слова. Бо життя, коротке і крихке, дозволило спробувати ще раз, але за умови цього разу не кремпуватись і ще  написати ось цей от про територію безбожжя. 
Десь прочитала, що після нещасних випадків душі загиблих потрапляють у іншу реальність, де вони цього самого випадку уникають і продовжують жити так, ніби нічого не сталося. Це все ще та сама реальність? Ущипніть мене хтось, треба терміново перевірити. 
slow-motion
уперше в житті так кричиш
та крику не чути
повітря густе й від удару гаряче
ця сцена тобі знайома, її не раз 
проживала з героями кінофільмів 
виявляється, вона насправді проходить 
в режимі slow-motion  
повільно й граційно розкриваються 
подушки безпеки й повіки – 
широко, як ніколи, бо, може, востаннє 
а може, від жаху, а може, від неминучості 
смерть заглядає в зіниці 
краплями беладонни 
повільно й граційно скло вітрове 
покривається зморшками тріщин
жодних спогадів жодних жалів 
жодного бога і ангелів 
тільки хрускіт і скрип металу і подив  - 
у мене кістки є,  хребет і суглоби
і ось саме зараз вони 
виконують свою музику - їх зоряний час - ламаючись 
усе замовкає, наступає космічна тиша – 
мить правди на теренах безбожжя
хоча, більше схоже на вічність і суд страшний,
який нІкому розсудити 
а потім з котроїсь із міфологій","Verses are when from the dust of the soul sculpted forms of words dost take shape. Love and pain, which dost assume form only in the amphora of language. Mighty clumps of energy, secret defensive weaponry, magical incantation, therapeutic remedies. A message in a bottle, a code that hath as many variations as there be readers and readings thereof. I, I dost need these lapidary texts-rebus, Rubik's cubes, incomprehensible without a key, neither by content nor by form. Or mayhap, all is not so? Well, I am ready to read aloud these verses, unfit for reading aloud by another, to comment upon all these allusions and to explain the incomprehensible words. For life, short and fragile, hath allowed to try once more, but on the condition this time not to falter and to write yet this about the territory of godlessness. Somewhere I did read that after misfortunes the souls of the slain dost enter another reality, where they dost avoid that very misfortune and continue to live as if naught hath happened. Is this still the same reality? Pinch me, someone, I must urgently verify. slow-motion for the first time in life dost thou scream thus and the scream is not heard the air is thick and hot from the blow this scene is familiar to thee, thou hast lived it many times with the heroes of films it appears, it dost truly unfold in slow-motion slowly and gracefully dost unfold the airbags and eyelids – widely, as never before, for, mayhap, for the last time or mayhap, from horror, or mayhap, from inevitability death dost gaze into the pupils with drops of belladonna slowly and gracefully the windscreen dost cover with wrinkles of cracks no memories, no regrets no god nor angels only the crunch and creak of metal and wonder - I have bones, a spine and joints and lo, at this very moment they dost perform their music - their starry hour - breaking all dost fall silent, cosmic silence dost descend - a moment of truth in the lands of godlessness although, more akin to eternity and a dreadful judgment, which no one can adjudicate and then from some mythology or other. // (to be well acquainted with religions in such situations shall be of use: the more religions, the more chances to call unto someone, after all) and then from some mythology dost appear a Roman godling, the vagitant first to arrive at the scene dost open thy mouth, newly born, and dost place within it the gift of speech and dost say: here, take, this is thy yet another chance a heap of scrap – a new maternal womb light above thee – dost thou see? and a hand of aid, which dost receive the birth shall accept thee into this world as well come now"
UP2279_1,Dmytro Lazutkin,2022.0,Ukrainian,post_2022,1,"я був закоханий у вчительку
писав їй вірші про любов
коли вона мене вичитувала
я себе голкою вколов
і легше було не торкатися
летіти вітром поміж трав
вона  питала про сервантеса 
а я сосюру цитував
я був дурним як всі закохані
я свято вірив у дива
метелик тріпотів  у коконі 
я в зошиті писав слова
я уявляв її я знав її
найкраще ніж вона сама
і дощик шелестів по гравію
і не приходила зима….","I was enamored of mine teacher,
I wrote to her verses of love.
When she did read me, I pricked myself with a needle,
And it was easier not to touch.
To fly like the wind amidst the grass.
She did ask of Cervantes,
And I did quote Sosyura.
I was foolish as all who are in love,
I did truly believe in miracles.
A butterfly did flutter in its cocoon,
I did write words in mine notebook.
I did imagine her, I did know her,
Better than she herself did know.
And the rain did rustle upon the gravel,
And winter did not come..."
UP2294_1,Oles Ilchenko,2017.0,Ukrainian,2014_2021,1,"***
зачини вікно
тримай шибки 
солов’ї співають
це банально
просто безглуздо
після всього проминулого 
і читаного
замикай двері
пий чай
сповідуйся витовченим подушкам
згадуй небаченого метелика
потім
витримуй облогу ночі
невидимі дерева плачуть 
шемрають 
лопотять
аїр тріпотить мусульманським листям
місяць сіє дурман сновидінь
хмари хапають молодика за поли
на ранок лише 
тьмяне тіло миші
у склянці з олією","Shut thou the window,
Hold fast the panes;
The nightingales do sing.
'Tis banal,
Merely senseless,
After all that hath passed
And hath been read.
Lock thou the doors,
Drink tea,
Confess unto the worn pillows;
Recall the unseen butterfly.
Then,
Endure the siege of night;
The invisible trees do weep,
Whispering,
Rustling.
The sweet flag doth flutter with Muslim leaves;
The moon doth sow the intoxication of dreams.
The clouds do seize the young moon by its hem;
On the morrow, only
The dim body of a mouse
In a glass of oil."
UP2296_1,Iryna Vikyrchak,2020.0,Ukrainian,2014_2021,1,"джоґґінґ 
прокидаюсь у собі
в кімнаті в квартирі 
ні світ ні зоря 
виходжу в це місто й 
чіпляюсь за Одру, 
як бісер на нитку нанизую 
на неї внутрішню навігацію
вовком скрадаюсь вздовж берега 
ні світ ні зоря
бетонованою набережною
де й запахів
не вловити
тільки течію 
нанизую петлі кругом островів 
петля на петлю
вовняне тепле плетиво 
хоча може лише 
кучерява овеча шкура
а серце круком попереду і вгорі 
вмру, як не наздожену
#альгометрія","jogging
I dost awaken within myself
in the chamber of the flat
neither light nor star
I go forth into this city and
I cling to the Odra,
as beads upon a thread I dost string
upon her the inner navigation
like a wolf I dost creep along the shore
neither light nor star
on the concreted embankment
wherein the scents
cannot be caught
only the current
I dost string loops around the islands
loop upon loop
a woolly warm weave
though mayhap it be only
a curly sheep's skin
and my heart dost race ahead and above
I shall die, if I dost not catch up"
UP2408_1,Kateryna Babkina,2022.0,Ukrainian,post_2022,1,"Люблю в цей день нагадувати вам,
що якщо ваш столик - не на двох;
якщо в вас немає другої половинки - ще чи вже, 
чи тому що ви самі собі 130%, 
або тому що в вас є дві третинки, три четвертинки, чи просто іноді по 0,15;
якщо вам ніхто не несе сьогодні сердечко, і ви нікому -
то це ок. 
З вами все так.
В вас все як слід.
Єдина людина, яка не може вас не любити, це ви самі. Любіть, як умієте, і як саме вам підходить.
Кожен день для цього хороший, не лише сьогодні.
♥️","I do love to remind thee on this day,
That if thy table be not set for two;
If thou hast not a second half, yet or already,
Or because thou art thine own 130%,
Or because thou hast two thirds, three quarters, or simply sometimes 0.15;
If no one doth bring thee a heart today, and thou bringest none to anyone -
Then it is well.
With thee all is thus.
In thee all is as it should be.
The only person who cannot but love thee is thou thyself. Love as thou art able, and as it suits thee best.
Each day is good for this, not merely today.
♥️"
